,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
TFF1,TFF1,3.62109857,12.302350105,33.9681792538435,9.24907460667969e-15,2.38478139658629e-11,23.8747380191978
MGP,MGP,3.95604921866667,9.509206744,43.382648493552,3.19491947427767e-16,4.11889018623877e-12,26.6353159078851
SEPP1,SEPP1,-1.776636252,7.83698371,-18.7163237756946,3.04060746864708e-11,6.53325191429969e-09,16.2657956984304
PDZK1,PDZK1,2.459788619,7.77392000216667,28.3506854699025,1.09953743332214e-13,1.85079737514624e-10,21.6665495824573
SERHL,SERHL,-0.956720263666667,7.13083472016667,-12.0032598643038,1.0247516097904e-08,4.20735597242607e-07,10.3492481413329
BCAS1,BCAS1,-2.933361275,9.47676342916667,-36.6542720335521,3.25145586580948e-15,2.09588845110079e-11,24.7650803351495
OLFM1,OLFM1,2.917724792,9.74524203066667,34.576491793857,7.24892596703492e-15,2.36898677002782e-11,24.0846890680923
SUSD2,SUSD2,-0.833192301999999,8.51532380133333,-8.54825695933874,6.68649226611723e-07,1.01414421523275e-05,6.01333971079261
GREB1,GREB1,3.033597669,8.8415917355,34.5415527308868,7.35025370781205e-15,2.36898677002782e-11,24.0727671743054
BTG2,BTG2,-2.810995404,9.323861448,-27.9361102743482,1.34454528321731e-13,1.92598642124861e-10,21.4816359944627
CEACAM6,CEACAM6,-0.746362642333331,7.0976299775,-9.27667552852083,2.5187614788428e-07,4.74734985164347e-06,7.02937705566007
UGT1A6,UGT1A6,-0.920382389666665,10.0836417285,-11.0076634702206,3.06190572896006e-08,9.29214304919167e-07,9.2173150007966
CAV1,CAV1,0.382673529000002,9.9803532355,4.81235381206334,0.000282746610102744,0.00145110242732666,-0.260862927805057
TP53INP1,TP53INP1,-2.31013182966667,9.43238978516667,-28.260409236119,1.1484935619896e-13,1.85079737514624e-10,21.6265714059833
CA12,CA12,2.31900514300001,10.8255591651667,21.43804003298,4.90066210692818e-12,1.98511640619665e-09,18.0650002382291
TUBA3D,TUBA3D,2.63070556133333,7.850919691,28.8632358914177,8.60779947994355e-14,1.84952918159054e-10,21.8905499180491
TM4SF1,TM4SF1,-0.152421628333333,6.84174211483333,-1.66159699042414,0.119003626082247,0.227625333449901,-6.1827059025226
CALB2,CALB2,1.75054391566667,7.47901915916667,20.4510383665634,9.251221508453e-12,3.08336657669047e-09,17.4428206091578
PMP22,PMP22,-2.26921989266667,10.898813757,-22.3367368288419,2.81350556275705e-12,1.45086854860255e-09,18.6044134594281
MB,MB,-1.920385324,8.90797376833333,-15.33032197476,4.30126212146405e-10,3.79807337465168e-08,13.5993397103427
TFPI,TFPI,-1.916153161,8.62437922983333,-24.6349575857293,7.45653593618536e-13,6.00810383058135e-10,19.8784213591776
SELENBP1,SELENBP1,-1.86322376566667,8.7360614555,-16.5605954053133,1.55204762598063e-10,1.83568788937085e-08,14.6317348875373
PRSS23,PRSS23,2.071316329,9.5539564655,22.4725309713238,2.59199106188629e-12,1.41040793849826e-09,18.6837913670511
CXCR7,CXCR7,-1.13482611,10.6870168416667,-11.3645904135444,2.04951830322815e-08,6.90618572577413e-07,9.63289065193404
TSC22D3,TSC22D3,-2.121030683,9.54681914183333,-21.7388735512717,4.06004528721796e-12,1.74473679476046e-09,18.2483432470357
YPEL3,YPEL3,-2.12852859733333,8.86139929366667,-25.1253007226621,5.70393507521323e-13,4.9023420659766e-10,20.1323548739934
PPFIBP2,PPFIBP2,-2.040776122,8.671137909,-25.9171967492036,3.73918622265339e-13,3.70812221403442e-10,20.5302767341394
