names	maxDelta
TP53+	2
JUN+	2
MAPK1+	5
MAPK14+	3
ELAVL1+	2
MAPK3+	3
MAPK8+	4
CTNNB1+	1
MAPK10+	2
SP1+	1
GSK3A-	2
AR+	2
ATF2+	1
ATF3+	1
COPS5+	3
EGR1+	1
EP300+	2
ESR1+	2
FOS+	1
MMP3+	1
NFKB1+	1
NOTCH1+	1
PIN1+	3
PRKACA+	3
RELA+	1
RPS6KA1+	1
SMAD4+	2
STAT3+	1
WNT1+	3
ZBTB16+	1
GSK3B-	1
VTN-	1
ATAD2+	3
ATF1+	1
AXIN1+	3
BHLHE40+	1
CCL2+	1
CDK1+	2
CDK2+	2
CDK3+	1
CHUK+	1
DDIT3+	1
DUSP1+	1
DUSP5+	1
DUSP6+	1
DVL1+	1
E2F1+	2
EGFR+	5
ELANE+	1
ELK1+	1
ELK4+	1
ENC1+	1
EPHB2+	3
ERBB2+	1
EREG+	5
FOSL2+	1
FUBP1+	1
GDF15+	1
HBEGF+	5
HES1+	1
HRAS+	5
HSPG2+	1
IER3+	5
IL11+	1
ILF3+	1
JUNB+	3
KAT2A+	1
KAT5+	2
KLF2+	1
LIF+	1
MAPK11+	2
MAPK15+	1
MAPK7+	1
MAX+	1
MCL1+	1
MYC+	1
NCOA1+	1
NR3C1+	1
NR4A1+	1
PGF+	1
PLAT+	5
PLK1+	1
PLK3+	3
PML+	1
PPP2CA+	1
PTGS2+	1
RARA+	1
RBPJ+	1
RGS4+	1
ROCK1+	3
RPS6KA3+	1
RPS6KA4+	5
RUNX1+	1
RUNX2+	1
RXRA+	1
RXRB+	1
SERPINE1+	1
SIK1+	1
SKP2+	1
SMAD3+	3
SMARCB1+	1
SOX9+	1
SPRY2+	1
SPRY4+	1
STK11+	1
TCF7L2+	1
TRRAP+	1
USF2+	1
VEGFA+	1
VRK1+	2
YY1+	2
FOSL1+	1
NR4A2+	1
ABL1-	1
BBC3-	1
BCL2L1-	1
BCL2L11-	1
BMF-	1
CASP3-	1
CDK5-	1
CDKN1A-	1
CEBPA-	1
CSNK2A1-	1
DYRK1A-	1
EIF4E-	1
FBXW7-	1
GADD45GIP1-	1
HBP1-	1
HDAC1-	2
HDAC3-	1
HES6-	1
JDP2-	1
KLK2-	1
MAFG-	1
MYCBP-	1
NAB1-	1
NAB2-	1
NFE2L2-	1
NMI-	1
PARP10-	1
PRKN-	1
PUF60-	1
