SYMBOL	logFC	P.Value
A2M-AS1	-0.24048369229946	0.0030320960417621
A4GALT	0.360868473381689	1.37619865826186e-06
A4GNT	-0.228613850474672	0.00389870003016923
AAAS	0.318788949248504	0.000236990328902771
AADAT	0.304675303564979	0.000192017186491493
AAED1	0.349885975025769	1.12947770490676e-06
AAMDC	-0.265439957448571	0.00486029666221798
AAMP	0.154386717111755	0.00120619776739599
AANAT	0.213430301069901	0.00726056528388012
AARSD1	0.326745604958898	1.36784507890993e-05
AASDHPPT	0.173133097543266	0.00783780674040725
AATF	0.323426909435302	1.62803906658657e-06
AB488780	-0.199166127980261	0.0049918261198532
ABAT	0.601019033957689	5.92225419300765e-09
ABCA1	-1.06714600721594	3.8264983331686e-10
ABCA12	-0.546862042656246	5.26277625053889e-08
ABCA17P	0.276116881211232	0.00128968684090522
ABCB4	-0.300977022119509	0.000728668873654924
ABCC2	0.225313543638901	0.0123874192054842
ABCC5	-1.51880523324462	1.15006795851373e-14
ABCC6P1	-0.184715785838	0.00812921685847058
ABCC8	-0.235371213126645	0.0134593586994066
ABCD3	0.528174225117857	1.26165706890851e-06
ABCE1	0.716516045183866	1.55710486685295e-11
ABCF1	0.167217143159696	0.00299530262116181
ABCF2	0.534877778988127	5.74941190942608e-08
ABCG1	-1.28894764302856	7.46432757028213e-09
ABCG2	-0.272347701246501	0.00521093675119199
ABHD10	0.238497896511159	0.00159492514589961
ABHD11	0.329541280953278	0.0005300166360059
ABHD12	-0.491506489600862	1.3423964267249e-08
ABHD13	0.328455706098243	0.00099539871730261
ABHD16A	0.249370659087632	0.00499912608332977
ABHD16B	0.186847557142546	0.0134661929592718
ABHD17B	0.386430416195362	6.79113248220834e-05
ABHD17C	-0.568356028809365	1.90457037893155e-07
ABHD2	0.548829734807371	2.79746440299454e-09
ABHD4	-0.501152653900006	6.12327190211272e-08
ABI1	-0.352237447254454	9.67262433957099e-07
ABLIM3	-0.432405058450954	1.27506174578927e-05
ABT1	0.226600286384704	0.000367218746371704
ABTB1	-0.33867393063862	3.02741126759047e-05
AC004951.6	-0.192594857364611	0.0136402119992527
AC005754.7	-0.411452304443374	9.48951122441296e-06
AC007787.2	-0.208554805945914	0.00106918721492129
AC145343.2	0.284758209473957	0.00086147152558223
ACAA2	-0.441855406496444	2.27791806668705e-08
ACACB	-0.209365761106053	0.00838792877825089
ACAD11	-0.980968504199799	1.91048828655306e-10
ACADL	-0.220139860863678	0.0082495396279267
ACADM	-0.223126531194088	0.00660792218623835
ACADSB	-0.400807959793171	0.00088629257356066
ACAT2	0.2954714236208	0.00041187929081612
ACD	0.228158838353155	0.000364145273537183
ACER3	0.481274846691662	0.000106606714247712
ACKR3	-1.54172210790475	2.46521202389921e-06
ACLY	0.217398238473832	0.000906885671830983
ACOT1	-0.300951803797287	0.000232285006424696
ACOT13	0.271162610188968	0.000591916739289033
ACOT2	-0.300951803797287	0.000232285006424696
ACOT4	0.245826443066234	0.00123218940147073
ACOT7	0.345576709612391	4.73272998675612e-06
ACOX1	-0.334575287354406	0.000447690338160963
ACOX2	1.13854123391373	2.90091206271513e-11
ACP1	0.206016362058733	0.00243450550221268
ACPP	-0.606665999293843	6.31634113341536e-07
ACSF2	-0.24219072052851	0.00375062302868121
ACSL1	0.191299516846556	0.00859387034126121
ACSL3	-0.587363875719921	7.66257998654016e-07
ACSS3	-1.03177382801932	5.05594819025176e-10
ACTA2	-0.291240367725695	0.00386771893423801
ACTBP9	-0.255039728827793	0.00709764299815168
ACTN1	0.278417235014716	0.0006887254093371
ACTN2	-0.191137262518354	0.00967299664474067
ACTR1A	0.176346030955452	0.00974102689706534
ACTR1B	-0.198266387669314	0.000807195343090325
ACTR3	-0.32250115483412	5.12616843258583e-05
ACTR3B	0.539800395463699	9.91909725524288e-08
ACTR5	0.55610882764102	8.30444021624309e-07
ACVR1	-0.298574163812582	6.72898667171267e-05
ACVR2B-AS1	-0.425140721446969	0.000237031712355291
ACY1	0.206032657927227	0.00458301978391868
ACYP1	0.331883060880943	0.00591494807338281
ADA	0.816871643907689	5.28295822162763e-09
ADAM11	-0.271745580558192	0.00970591120764489
ADAM22	-0.208193682935915	0.00697657903555459
ADAM33	0.326614406587471	0.000188732916349351
ADAM9	-0.288157413086955	0.000595381243243489
ADAMTS1	0.262357479821248	0.00673387515185489
ADAMTS10	0.228652437994871	0.00123473160729564
ADAMTS19	-0.943521988351724	2.41219777375048e-07
ADAMTS3	0.146567971750876	0.0120800890627709
ADARB1	-0.716226971924949	1.64206528331121e-08
ADAT2	0.689931869028948	3.34255996694618e-10
ADCY10	-0.188197910700826	0.00875579165025259
ADCY3	0.33358329754766	0.000340379671529502
ADCY5	-0.236058209488073	0.0029452137446359
ADCY6	-0.329916645700049	1.87084990704984e-06
ADCY9	0.533098118749145	1.25798828675533e-08
ADD3	0.505730989281345	1.58216607108322e-06
ADGB	0.154830606816344	0.0131277501345878
ADIPOR2	-0.485462733567738	1.35689979303164e-09
ADIRF	-0.34112549913397	4.59476078807873e-05
ADM	-1.01902921198673	1.54298657058642e-12
ADO	0.229937750826156	0.000142311944180097
ADORA1	1.99608598339364	1.85216811136654e-13
ADORA2B	0.326250721197162	5.57715360825357e-05
ADPGK	0.411475454230011	6.45138891712329e-07
ADPRH	0.233155239529416	0.0042842521870067
ADPRHL1	-0.265484503181654	0.00140628998660462
ADPRHL2	0.194120337757788	0.00198577937020333
ADRA2A	0.575937608228159	1.08104362552915e-06
ADRA2C	-0.17540823459711	0.00446720189837362
ADRB1	1.283732876337	3.10880707639913e-09
ADRBK1	-0.189363835479122	0.00407356355742929
ADRM1	0.352952069738043	5.46494826994814e-05
ADSL	0.437829544703298	9.5889517949826e-09
AEN	0.435606799195381	1.28988557953417e-07
AF001548.5	-0.291010532019143	0.00341220113812882
AF070581	-0.221810576634941	0.0103042717638069
AF086184	-0.209621215541899	0.00330180000940022
AF198444	0.211918310947074	0.000403634248805762
AF520793	-0.27161854873977	0.00647171124253657
AFAP1	-0.342610923865978	7.20224139780671e-05
AFG3L1P	0.254129310070098	0.00110203587250586
AFTPH	-0.366298073514056	1.68188579479414e-05
AGAP1	-0.238325267377496	0.00497135310375094
AGAP2-AS1	0.216646912076778	0.00959357261667063
AGBL5	0.539470668112345	6.59283026572812e-07
AGGF1	0.23996169789644	0.00285039092851763
AGK	0.202399218178574	0.00208976109527543
AGMAT	0.304291192804726	0.0128945904819545
AGO1	-0.232205317027639	0.0133485796238399
AGO2	0.255141100579743	0.00134951979041485
AGO4	-0.45118996175532	0.000291094112134011
AGPAT1	-0.220172411538596	0.00288252928309373
AGPAT2	-0.338264379026076	6.0934193970481e-07
AGPAT3	-0.376357925240674	0.000103100500789203
AGPAT5	0.239206173857077	0.00200736222601592
AGR3	0.632679353425316	0.000495585497143098
AGRN	-0.224454944270431	0.00470150750775867
AHCTF1	0.469735501384973	0.00160790277575232
AHCTF1P1	0.455933690677579	0.00321533262992332
AHCY	0.136360801114151	0.00951572485760644
AHRR	-1.39286202386505	3.7076427755058e-11
AHSA1	0.536823825614224	1.53350572907103e-09
AHSA2	-0.315123040376381	0.00118032528746394
AIDA	0.212819911984258	0.00052746396641476
AIF1L	-0.327052817311284	0.000718190710859072
AIFM2	-0.260292986800516	9.69784459102015e-05
AIM1	-0.300111946855345	3.58877380689942e-06
AIMP1	0.6277061245254	1.32975449118821e-08
AIMP2	0.509979126532919	2.54229078555467e-08
AK021933	0.267040480022236	0.000826730449996833
AK023627	0.377138544371787	0.000114534203131819
AK024134	0.224607442574887	0.0085464914861729
AK025117	0.174130612663824	0.0085065779403011
AK055981	-0.310171792244394	0.00267330845272609
AK056098	-0.215883877437308	0.0132430642249052
