SYMBOL	logFC	P.Value
CXCL2	0.216242649864133	0.0672916602515625
CXCL1	0.113384898976451	0.0985758185860567
CXCL3	0.287136849922106	0.00123188277118031
CXCL8	0.672319895067035	8.25293389413415e-08
CXCL10	-0.0485109564275312	0.339764854080369
CCL20	0.0619986483840638	0.134399036509847
TNFAIP3	0.191013011398556	0.0372298402248872
GCH1	0.279614358871379	0.00161391758553712
	0.353521511259071	0.583383284186318
PTGS2	1.25695369003624	7.2215877411351e-06
CXCL11	-0.00734997683333027	0.803181099665834
TNFAIP6	0.611647743204716	0.000294121597095461
CXCL6	0.0817257648894967	0.0332627615698843
FOS	2.42581361154711	0.00025059867317635
IL6	0.569579788302542	0.000146059540436263
RSAD2	0.0500269823478314	0.402414091747045
MX1	-0.0610884242554315	0.374159842895107
CXCL5	0.0463361859438445	0.155448076400295
BIRC3	0.111033252510875	0.0138659843432597
CCL2	1.18598920753624	9.94131796662459e-10
ICAM1	0.220708546038046	0.000524385853141053
IFIT2	-0.39687945386231	0.000480318606483741
MMP12	0.020923426559786	0.642787641402672
EGR3	3.00963950838044	5.72835863917727e-13
TNFSF10	-0.0772657714927489	0.115878771872201
NFKBIA	-0.129976865371365	0.0700191656631131
AREG	2.92066767887319	1.86648939342377e-08
CCL8	0.0310217476195689	0.306237495055048
EGR2	2.55492447166486	1.09076113670495e-08
HERC5	-0.0676410584692002	0.0886875204090041
IFIT1	-0.770794755701082	0.000432678079414906
IFIH1	-0.285678170923908	0.00989743548384413
MAP3K8	-0.108571612987313	0.425637168622517
OAS1	0.00503614456884627	0.912807981880744
SERPINB2	1.49566000152718	3.75514477142786e-07
CH25H	0.814917088210149	1.8627371063885e-12
ATF3	1.10323138157066	0.00196548737576246
TNFAIP2	-0.0137118215833212	0.847600601994089
PMAIP1	1.82993949863407	5.42209416003353e-15
OASL	0.0375904946376853	0.451609761288324
IDO1	-0.0187493669492698	0.738614505603587
IFIT3	-0.264794948190215	0.000567110041214983
IFI44L	-0.0226382818858659	0.585681534272575
MIR6732 /// ZC3H12A	0.948620232242758	4.76081726439564e-05
LIF	2.16318508376088	1.03118267394627e-14
MX2	-0.107138531460142	0.0648483211414718
IRF1	0.551084206001815	7.2365212098071e-05
AKIP1 /// NUAK2	0.605979001269935	9.4060819555454e-06
BHLHE40	1.57318524911958	2.85112692714484e-06
OAS2	0.0350537296811639	0.44369933822818
STC1	2.16418920635145	2.45559304956783e-08
EGR1	1.85939891832247	5.39554468886887e-06
NR4A2	2.02063422911957	8.04380259012893e-12
DDX58	0.079359035344214	0.351874458683077
BCL2A1	0.208818385746378	0.00327095849645236
SLC39A8	0.0102995954058018	0.862055276368587
CCL7	0.766322528532613	1.57454891412549e-05
ISG20	0.309670459913053	0.0148415113217877
NR4A3	0.836307362152179	0.00768458880945996
DUSP5	2.0499583628424	1.12796093832142e-11
HERC6	-0.0945020397264447	0.123988496025159
G0S2	0.301960376748197	0.00487199819768239
BDKRB1	0.548885204706528	4.15197911918748e-07
PLA2G4A	-0.00374372769021125	0.963199276399504
CFB	-0.0122629743840594	0.871017580798847
SPRY2	2.2372468291866	7.43596064307879e-14
TRIB1	2.28916683563769	2.34847547652116e-11
KLF10	1.83087324845472	2.92121180565716e-10
GBP1	0.279577781949284	0.00547759167989104
NKX3-1	0.510592267077901	4.89845561331773e-06
SLC39A14	0.266954460936607	0.00205476451267751
RIPK2	0.219920479000003	0.00211473357820762
HBEGF	1.7651553123116	2.2539983661677e-07
JUNB	1.69906818986413	2.75760644065776e-07
CCL5	-0.0356776265833267	0.289120915512888
SLC16A6	1.8806689031395	5.6281047716806e-08
RHOB	2.23898208591668	5.46467938503456e-16
BHLHE41	-0.155861153960139	0.0932450137847717
SERPINE1	1.66262967800001	4.61009234256575e-11
DUSP1	1.81177911639675	5.60208261787792e-11
PLK2	0.256575098994576	0.00225901592179911
IGF1	0.028853006275368	0.396696779418544
RARRES1	-0.0803571033333279	0.516823772699485
PTCH1	-0.410177354614121	0.00174670447563457
NAMPT	0.53283056639131	1.9346719624055e-06
DUSP6	1.64848414136052	1.55590423727395e-10
IER3	1.5905374279674	4.19294216075071e-14
TNFSF18	0.389511305646744	0.0077065671279202
JUN	2.34825816064675	1.61881024646858e-24
KYNU	0.0985986088188415	0.0879307006094417
GADD45B	0.295444264777188	0.0872244050271015
CTSS	0.0248947914420343	0.612459246887735
SPDL1	0.107443370380439	0.25629177991447
MSX1	0.748811362543483	1.65114004785211e-08
CHST2	0.884136909284427	2.30104501679593e-05
SPRY4	2.07532899422465	1.98255905605634e-13
ISG15	-0.131327873567026	0.00144867190385159
VCAM1	0.00837617736414309	0.865299068073848
ELN	0.128282438744573	0.0177067088676059
RGS1	0.154885263344205	0.233174487439359
SRSF5	0.00112146418116943	0.996764211019509
HTR2B	-0.782984106900355	0.000640584260882224
RTP4	-0.236515833385868	0.0159384793811036
CEBPD	0.3120026664674	0.129131483869442
KCNJ2	-0.53039804108876	0.00190431589278537
OAS3	-0.0487788320941984	0.288310042840623
IER2	1.73521964906704	1.67637637244494e-10
CHI3L2	-0.0669915496648494	0.183400645038559
ZFP36	1.3237052796087	4.93903005155676e-07
IL7R	0.441061640012686	0.00135195442607428
MAFF	1.20942130068117	1.94836042984868e-08
IFI44	-0.242561727315208	0.0155566458363018
PTGER4	0.639336281780804	2.59252640826135e-05
ID1	0.638230033726456	9.28781453312982e-05
FN1	0.40098962389856	0.162252225568751
ATP2B1	0.436661925298921	9.90884730246485e-05
NOX4	0.0426044955018159	0.293147041661416
HMGA2	0.975521223903992	0.00440159781282979
TLR3	0.00111556288225145	0.987666986124599
RGS4	1.56128801843842	1.20906636628787e-10
PTGES	-0.03267804293115	0.528778280888013
STAT1	0.13393306226993	0.0761991791504354
EREG	1.10350078011776	7.33402453178601e-06
IL11	1.00955783833515	2.56730646883822e-05
GDF15	1.99124229672102	9.80731727632176e-18
SNAI2	-0.481320382293466	3.23270826847056e-06
SLC2A3	1.23206277254348	9.221458574717e-07
GBP2	-0.221641344898546	0.00439406814547934
WTAP	0.0756419921775464	0.133225008092879
SOX9	1.54087243352356	1.99506159990023e-07
IL15RA	-0.0484921085253589	0.295316655757121
ADH1B	-0.612129874963763	0.000423054049504935
TRIM14	0.0189679284547166	0.774794493880272
KLF2	1.29762301907972	2.7107358076275e-05
GMPR	-0.0937568346358617	0.0579753019457774
SRGN	-0.0894935400941925	0.20561850786629
TFPI2	0.287706396014506	0.0444512384337027
TNFAIP8	-0.397480187824266	0.000532634428121224
RCAN1	0.406204503851459	0.00084029465247317
ZCCHC2	0.744104582201092	3.40570816787509e-06
SLIT2	0.26129621859421	0.039202297462372
FGF2	0.43268103108877	0.00113241027333781
BDKRB2	0.359602064583338	0.000121167767845606
IFI35	-0.0453899018623121	0.331127195621677
PLAU	1.34917465497102	1.03437599176898e-10
MARCH3	0.291848724608701	0.00113594479394062
NPAS2	0.210424891867757	0.0350824882930258
IL6ST	0.410620778284424	0.0815014925209451
IFI27	-0.138341061806155	0.0087154957305021
SLC20A1	1.43433156764493	3.13995233494835e-07
SAMD9	0.17030941544566	0.0443121690932896
FOSL1	1.38760534586776	4.1360798627664e-10
SLC14A1	0.459603728260874	0.00911938681621917
LMO2	-0.011728488907603	0.817366284693884
MCL1	1.62150733804711	4.07986749045474e-10
PARP12	0.104387811760874	0.164382685604283
NAV3	0.560630339771744	0.000469175445314866
TNF	-0.0665916953568821	0.157138621581226
AGTR1	-0.392430395349638	0.00261508717425921
ENC1	1.01710294825544	7.27037620544997e-06
SLC2A14 /// SLC2A3	1.26915741951088	2.7812396497663e-08
SIK1	1.07782581187682	5.74862405370889e-05
CDH6	-0.141887954422094	0.129961744799444
GFPT2	0.573313467463771	0.000173553944299717
DDX60	-0.173620415590576	0.0175882262646738
LMCD1	-0.0685089493586872	0.260493432007107
TAP1	-0.0300705010688294	0.356967640579883
TOX	-0.287149400708326	0.0315519822804584
BATF3	0.16545131650544	0.00101454563356355
USP18	0.0722707039148611	0.304708677452785
H3F3A /// H3F3B /// MIR4738	0.258074854532619	0.306167408721975
CTGF	0.771659381840584	0.0026603739047777
CSF1	-0.0742975405144852	0.200928191409218
NR4A1	1.28427850190943	8.47038300465691e-06
APOBEC3G	-0.171971583137672	0.00741653123025435
TACC2	0.181595914056176	0.0314943073411789
ZC3HAV1	0.176693183217396	0.00426104394709226
HES1	1.43635408825	8.37302502703565e-12
