Source,Target
,
PGR,MME
PGR,E2F1
E2F1,B4GALT1
E2F1,H19
E2F1,PEG10
E2F1,RASGRP1
E2F1,CTNND2
E2F1,TP53INP1
PGR,ESR1
ESR1,CXCL12
ESR1,GREB1
ESR1,NR5A2
ESR1,PGR
ESR1,PMAIP1
ESR1,RET
ESR1,UGT2B15
ESR1,BTG2
ESR1,SOCS2
PGR,HSD17B2
HSD17B2,PGR
PGR,JUN
JUN,IGF2
JUN,MGP
JUN,PGR
JUN,SLC3A2
JUN,TH
JUN,UGT2B15
JUN,ABCA1
JUN,CSTA
PGR,KLF5
KLF5,CDKN2B
PGR,MYB
MYB,BTG2
MYB,SOCS2
PGR,MYC
MYC,ADRB1
MYC,HERC5
MYC,PMAIP1
MYC,CDK6
MYC,CDKN2B
MYC,KAT2B
MYC,MME
PGR,PRL
PRL,PGR
PGR,RELA
RELA,ADORA1
RELA,BCL2L11
RELA,CXCL12
RELA,PGR
RELA,PTGES
RELA,ABCA1
RELA,BTG2
RELA,CDK6
RELA,IL1R1
RELA,PTGER4
GATA4,NKX2-5
NKX2-5,GATA4
FOSL2,UGT2B15
FOSL2,BCL6
BCL6,IGFBP4
BCL6,CDKN2B
FOSL2,BRCA1
BRCA1,AREG
BRCA1,FOXC1
BRCA1,JAK2
FOSL2,MYB
NR5A2,NR5A2
EGR3,NAB2
NAB2,RBL2
EGR3,TP73
TP73,PMAIP1
ASCL1,IGF2
FHL2,NFKB1
NFKB1,ADORA1
NFKB1,BCL2L11
NFKB1,CXCL12
NFKB1,HERC5
NFKB1,NPY1R
NFKB1,PGLYRP2
NFKB1,PTGES
NFKB1,ABCA1
NFKB1,ABCG1
NFKB1,BTG2
NFKB1,ID1
NFKB1,IL1R1
NFKB1,LYN
NFKB1,PTGER4
FHL2,RELA
JAK2,STAT3
STAT3,JAK2
STAT3,SERPINA1
STAT3,PTGER4
STAT3,TIMP3
JAK2,STAT5A
STAT5A,CDKN2B
STAT5A,SOCS2
JAK2,STAT5B
STAT5B,SOCS2
STAT5B,TIMP3
HEY2,GATA4
SOX3,STAT3
SOX3,TGIF1
TGIF1,SOX3
FOXC1,FOXO1
FOXO1,BCL2L11
FOXO1,RPS6KA3
FOXO1,ADM
FOXO1,ATP8A1
FOXO1,CCNG2
FOXO1,CDKN2B
FOXO1,ID1
FOXO1,RBL2
FOXO1,TIMP3
RPS6KA3,FOS
FOS,PGR
FOS,TH
FOS,CSTA
IL20,STAT3
CXCL12,EGR1
EGR1,ADRB1
EGR1,IGF2
EGR1,PTGES
EGR1,PTP4A1
EGR1,RET
EGR1,TH
EGR1,RBL2
EGR1,TIMP3
KAT2B,E2F1
KAT2B,SMAD4
SMAD4,CDKN2B
SMAD4,SEPP1
SMAD4,TIMP3
KAT2B,TP73
BTG2,CREB1
CREB1,AREG
CREB1,BCL2L11
CREB1,NR5A2
CREB1,PTGES
CREB1,TH
CREB1,ADM
CREB1,LYN
CREB1,PMP22
RBL2,BRCA1
RBL2,E2F4
E2F4,PEG10
IGFBP3,RARA
RARA,ADRB1
RARA,BTG2
RARA,NEDD9
