Source,Target
,
JUN,ATF3
JUN,CCL2
JUN,EGR1
JUN,FOS
JUN,FOSL1
JUN,JUN
JUN,MYC
JUN,PLAU
JUN,PTGS2
JUN,RHOB
JUN,SERPINB2
JUN,SERPINE1
JUN,VEGFA
JUN,AR
AR,FOS
AR,JUN
AR,MYC
AR,PLAU
AR,PTGS2
AR,VEGFA
ATF3,ATF3
ATF3,GDF15
JUN,BRCA1
BRCA1,AREG
BRCA1,EGR1
BRCA1,FOS
BRCA1,MYC
BRCA1,VEGFA
JUN,CDKN1A
CDKN1A,MYC
JUN,CEBPD
CEBPD,PTGS2
JUN,CREM
CREM,DUSP1
CREM,FOS
CREM,JUN
JUN,CSF2
CSF2,EGR1
JUN,CTNNB1
CTNNB1,CCL2
CTNNB1,DUSP6
CTNNB1,ENC1
CTNNB1,FOSL1
CTNNB1,JUN
CTNNB1,MYC
CTNNB1,NR4A1
CTNNB1,PTGS2
CTNNB1,SLC2A3
CTNNB1,VEGFA
JUN,DDIT3
DDIT3,MCL1
JUN,EGFR
EGFR,EGR1
EGR1,ATF3
EGR1,EGR1
EGR1,FOSL1
EGR1,GDF15
EGR1,JUN
EGR1,PLAU
EGR1,PTGS2
EGR1,SERPINE1
EGR1,VEGFA
JUN,ESR1
ESR1,FOS
ESR1,JUN
ESR1,JUNB
ESR1,MYC
ESR1,PMAIP1
ESR1,SERPINE1
ESR1,VEGFA
JUN,ETS1
ETS1,DUSP6
ETS1,EGR1
ETS1,FOS
ETS1,FOSL1
ETS1,IER2
ETS1,LIF
ETS1,MCL1
ETS1,MYC
ETS1,PLAU
ETS1,SERPINE1
ETS1,SPRY2
JUN,ETS2
ETS2,DUSP6
ETS2,EGR1
ETS2,FOS
ETS2,FOSL1
ETS2,HBEGF
ETS2,JUN
ETS2,JUNB
ETS2,LIF
ETS2,MYC
ETS2,PLAU
FOS,FOS
FOS,FOSL1
FOS,HBEGF
FOS,MYC
FOS,PLAU
FOS,PTGS2
FOSL1,FOSL1
JUN,HEY1
HEY1,CCL2
JUN,HMGA1
HMGA1,PTGS2
HMGA1,SLC2A3
JUN,IL12A
IL12A,EGR1
IL12A,FOS
JUN,IL1B
IL1B,EGR1
JUN,IL2
IL2,EGR1
IL2,FOS
IL2,JUNB
JUN,IL6
IL6,JUN
JUN,MAP3K1
MAP3K1,ATF3
JUN,MAPK8
MAPK8,EGR1
JUN,MEF2D
MEF2D,ATF3
MEF2D,JUN
JUN,MYB
MYB,EGR1
MYB,MYC
MYB,PTGS2
MYC,ATF3
