,from,to,sign,weight
1,A2M,KLK3,-1,0.71
2,A2M,LRP1,1,0.863
3,AAK1,AP2M1,1,0.974
4,AAK1,NUMB,1,0.751
5,AAK1,AP1M1,1,0.365
6,AATK,CDK5R1,1,0.427
7,ABCA1,APOA1,1,0.992
8,ABCB1,TP53,-1,0.972
9,ABI1,ABL1,1,0.975
10,ABI1,CBL,1,0.503
11,ABL1,ABI1,1,0.975
12,ABL1,ABL2,1,0.936
13,ABL1,APBB1,1,0.679
14,ABL1,ATR,1,0.958
15,ABL1,BCAR1,1,0.817
16,ABL1,CASP9,1,0.826
17,ABL1,CAV1,1,0.728
18,ABL1,CBL,1,0.937
19,ABL1,CD19,1,0.885
20,ABL1,CDK5,1,0.955
21,ABL1,CDKN1B,-1,0.77
22,ABL1,CEBPB,1,0.159
23,ABL1,CTNND1,1,0.922
24,ABL1,CTTN,1,0.398
25,ABL1,DDB2,-1,0.441
26,ABL1,DDX5,1,0.337
27,ABL1,DNM2,1,0.666
28,ABL1,DOK1,1,0.81
29,ABL1,EGFR,1,0.469
30,ABL1,EPHB2,-1,0.939
31,ABL1,ESR1,1,0.707
32,ABL1,GRAP,1,0.576
33,ABL1,GRB2,1,0.948
34,ABL1,JAK2,1,0.555
35,ABL1,JUN,-1,0.871
36,ABL1,MAP3K1,1,0.316
37,ABL1,MAP4K1,1,0.512
38,ABL1,MDM4,-1,0.718
39,ABL1,MET,1,0.268
40,ABL1,MYLK,1,0.164
41,ABL1,MYOD1,-1,0.257
42,ABL1,NCK1,1,0.562
43,ABL1,NCOA3,1,0.476
44,ABL1,PAK1,1,0.256
45,ABL1,PAK2,-1,0.502
46,ABL1,PLCG1,-1,0.951
47,ABL1,PRKCD,1,0.455
48,ABL1,PRKD1,1,0.476
49,ABL1,PRKDC,-1,0.837
50,ABL1,PRKN,-1,0.495
51,ABL1,PSMA7,-1,0.503
52,ABL1,PSTPIP1,1,0.72
53,ABL1,PTPN6,1,0.657
54,ABL1,PXN,1,0.851
55,ABL1,RACK1,1,0.674
56,ABL1,RAD52,1,0.971
57,ABL1,RAPGEF1,1,0.764
58,ABL1,RIN1,1,0.907
59,ABL1,SHC1,1,0.91
60,ABL1,SORBS2,1,0.685
61,ABL1,SOS1,1,0.954
62,ABL1,STAT1,1,0.503
63,ABL1,STK3,1,0.156
64,ABL1,TOP1,1,0.579
65,ABL1,TP53BP1,1,0.283
